angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.63,"[189, 48, 226, 317]",0.05,0.15,0.0,0.02,0.14,0.01
0.61,"[190, 50, 224, 314]",0.12,0.12,0.0,0.01,0.12,0.01
0.76,"[192, 50, 222, 315]",0.06,0.09,0.0,0.01,0.07,0.01
0.78,"[192, 51, 220, 313]",0.08,0.05,0.0,0.01,0.07,0.0
0.75,"[192, 52, 220, 312]",0.09,0.07,0.0,0.01,0.07,0.01
0.72,"[193, 54, 218, 309]",0.11,0.08,0.0,0.02,0.06,0.01
0.72,"[195, 51, 216, 299]",0.1,0.06,0.0,0.01,0.1,0.0
0.48,"[195, 50, 215, 299]",0.37,0.06,0.0,0.01,0.07,0.01
0.61,"[196, 50, 215, 299]",0.2,0.07,0.0,0.01,0.09,0.01
0.6,"[196, 50, 215, 299]",0.22,0.07,0.0,0.01,0.09,0.01
0.67,"[196, 50, 215, 299]",0.16,0.07,0.0,0.01,0.08,0.01
0.65,"[191, 47, 219, 305]",0.28,0.03,0.0,0.0,0.03,0.01
0.57,"[191, 48, 218, 303]",0.36,0.01,0.0,0.01,0.04,0.01
0.56,"[190, 46, 219, 306]",0.34,0.02,0.0,0.01,0.06,0.02
0.58,"[190, 46, 219, 306]",0.31,0.02,0.0,0.01,0.05,0.02
0.66,"[196, 53, 219, 304]",0.12,0.07,0.0,0.05,0.09,0.01
0.56,"[196, 51, 219, 305]",0.09,0.12,0.0,0.06,0.15,0.01
0.59,"[194, 48, 221, 309]",0.02,0.1,0.0,0.09,0.2,0.01
0.45,"[193, 40, 217, 305]",0.21,0.05,0.0,0.11,0.18,0.0
0.28,"[194, 42, 214, 299]",0.43,0.05,0.0,0.08,0.15,0.01
0.39,"[192, 38, 218, 308]",0.26,0.04,0.0,0.13,0.16,0.01
0.61,"[198, 51, 222, 301]",0.17,0.06,0.0,0.07,0.1,0.0
0.6,"[193, 36, 220, 309]",0.07,0.04,0.0,0.11,0.18,0.0
0.62,"[193, 36, 220, 310]",0.06,0.04,0.0,0.1,0.17,0.0
0.57,"[193, 37, 219, 309]",0.08,0.03,0.0,0.16,0.15,0.0
0.55,"[192, 38, 221, 306]",0.04,0.06,0.0,0.15,0.19,0.01
0.53,"[193, 39, 219, 304]",0.04,0.06,0.0,0.14,0.23,0.0
0.56,"[194, 52, 220, 298]",0.11,0.09,0.0,0.1,0.13,0.0
0.62,"[191, 41, 222, 307]",0.04,0.03,0.0,0.14,0.16,0.0
0.48,"[191, 40, 222, 307]",0.05,0.07,0.0,0.2,0.21,0.0
0.42,"[191, 40, 221, 306]",0.05,0.05,0.0,0.27,0.21,0.0
0.64,"[201, 54, 219, 302]",0.11,0.1,0.0,0.05,0.1,0.0
0.66,"[195, 52, 220, 303]",0.04,0.09,0.0,0.09,0.12,0.0
0.66,"[197, 52, 219, 301]",0.05,0.08,0.0,0.06,0.14,0.0
0.56,"[195, 46, 222, 302]",0.05,0.07,0.0,0.1,0.22,0.0
0.76,"[199, 50, 217, 301]",0.03,0.05,0.0,0.06,0.1,0.0
0.54,"[199, 45, 219, 303]",0.02,0.04,0.0,0.21,0.19,0.0
0.72,"[199, 51, 217, 298]",0.03,0.08,0.0,0.04,0.12,0.0
0.56,"[198, 46, 214, 293]",0.07,0.04,0.0,0.14,0.18,0.0
0.52,"[199, 47, 212, 293]",0.08,0.03,0.0,0.14,0.23,0.0
0.73,"[203, 51, 213, 300]",0.04,0.09,0.0,0.05,0.09,0.0
0.73,"[204, 49, 214, 302]",0.15,0.06,0.0,0.01,0.05,0.0
0.79,"[202, 51, 215, 303]",0.01,0.11,0.0,0.02,0.06,0.0
0.55,"[203, 51, 214, 300]",0.06,0.22,0.0,0.05,0.1,0.02
0.57,"[203, 52, 214, 299]",0.11,0.18,0.0,0.04,0.08,0.01
0.52,"[202, 48, 216, 301]",0.41,0.04,0.0,0.0,0.02,0.0
0.55,"[201, 45, 216, 304]",0.36,0.05,0.0,0.0,0.03,0.0
0.59,"[200, 44, 217, 305]",0.27,0.08,0.0,0.01,0.06,0.0
0.64,"[203, 52, 214, 293]",0.08,0.15,0.0,0.04,0.1,0.0
0.63,"[202, 51, 215, 295]",0.09,0.13,0.0,0.04,0.1,0.0
0.62,"[199, 49, 217, 301]",0.18,0.1,0.0,0.02,0.08,0.0
0.35,"[195, 35, 218, 302]",0.62,0.01,0.0,0.0,0.02,0.0
0.62,"[199, 49, 218, 302]",0.18,0.1,0.0,0.01,0.08,0.0
0.57,"[200, 51, 215, 296]",0.33,0.05,0.0,0.01,0.04,0.0
0.6,"[200, 51, 214, 297]",0.31,0.05,0.0,0.0,0.04,0.0
0.72,"[203, 53, 215, 295]",0.19,0.06,0.0,0.0,0.02,0.0
0.6,"[203, 50, 216, 299]",0.33,0.05,0.0,0.0,0.01,0.0
0.68,"[202, 53, 215, 297]",0.18,0.08,0.0,0.01,0.05,0.0
0.51,"[202, 54, 215, 293]",0.33,0.09,0.0,0.01,0.06,0.0
0.53,"[202, 54, 215, 293]",0.3,0.09,0.0,0.01,0.06,0.0
0.7,"[199, 58, 214, 287]",0.13,0.1,0.0,0.02,0.06,0.0
0.71,"[192, 53, 223, 297]",0.09,0.1,0.0,0.01,0.09,0.0
0.75,"[193, 55, 220, 295]",0.04,0.1,0.0,0.02,0.09,0.0
0.58,"[192, 57, 218, 293]",0.1,0.1,0.0,0.07,0.15,0.0
0.6,"[192, 57, 218, 293]",0.09,0.1,0.0,0.06,0.15,0.0
0.81,"[194, 59, 218, 294]",0.01,0.07,0.0,0.02,0.08,0.0
0.57,"[199, 54, 215, 294]",0.33,0.05,0.0,0.0,0.04,0.0
0.75,"[193, 48, 213, 295]",0.1,0.05,0.0,0.02,0.08,0.0
0.75,"[195, 50, 220, 308]",0.03,0.07,0.0,0.03,0.1,0.01
0.77,"[195, 50, 220, 308]",0.03,0.07,0.0,0.03,0.09,0.01
0.44,"[194, 46, 216, 298]",0.24,0.07,0.0,0.03,0.21,0.01
0.53,"[197, 50, 211, 291]",0.29,0.03,0.0,0.02,0.13,0.0
0.36,"[194, 52, 217, 291]",0.46,0.03,0.0,0.02,0.12,0.0
0.66,"[200, 54, 218, 296]",0.02,0.05,0.0,0.18,0.09,0.0
0.56,"[195, 50, 218, 301]",0.01,0.06,0.0,0.2,0.16,0.0
0.39,"[199, 49, 220, 300]",0.01,0.06,0.0,0.31,0.22,0.0
0.56,"[199, 53, 221, 301]",0.0,0.05,0.0,0.22,0.16,0.0
0.54,"[199, 55, 219, 300]",0.0,0.07,0.0,0.17,0.2,0.0
0.72,"[195, 54, 216, 296]",0.02,0.05,0.0,0.09,0.12,0.0
